,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XMR-USD,0.01572376478473661,14.0
1,SNX-USD,CRV-USD,2.6470150293461403,6.0
2,SNX-USD,LTC-USD,0.02788352453182953,22.0
3,XTZ-USD,ETC-USD,0.051556806450489864,4.0
4,XTZ-USD,CELO-USD,1.6961768390665175,14.0
5,XTZ-USD,RUNE-USD,0.7486639990958754,8.0
6,XTZ-USD,ZRX-USD,3.9520394166626662,13.0
7,XTZ-USD,YFI-USD,0.00012387033908459508,4.0
8,XTZ-USD,NEAR-USD,0.5347132742896776,20.0
9,XTZ-USD,ALGO-USD,5.535554416597485,12.0
10,XTZ-USD,SUSHI-USD,0.9727684806757515,6.0
11,XTZ-USD,DOT-USD,0.17226455482936992,7.0
12,ETC-USD,CELO-USD,32.89866470888089,12.0
13,ETC-USD,ENJ-USD,50.585325309695534,8.0
14,ETC-USD,YFI-USD,0.0024024973118254448,5.0
15,ETC-USD,EOS-USD,18.968864227087508,10.0
16,ZEC-USD,CELO-USD,62.36088446605987,12.0
17,ZEC-USD,FIL-USD,6.980833304511492,4.0
18,ZEC-USD,XLM-USD,394.4085913682933,8.0
19,ZEC-USD,NEAR-USD,19.660112370886118,12.0
20,ZEC-USD,ADA-USD,94.10487695180723,7.0
21,ZEC-USD,DOGE-USD,466.8998012122395,4.0
22,ZEC-USD,LTC-USD,0.4209347462778492,9.0
23,ZEC-USD,UNI-USD,6.825814582909229,8.0
24,LINK-USD,ENJ-USD,18.338151948992223,15.0
25,LINK-USD,ZRX-USD,27.78578412997129,22.0
26,LINK-USD,YFI-USD,0.0008709412999334213,11.0
27,LINK-USD,XLM-USD,75.43226620822351,6.0
28,LINK-USD,SUSHI-USD,6.840038394936719,5.0
29,LINK-USD,DOT-USD,1.211256859194588,10.0
30,LINK-USD,CRV-USD,7.640475513617264,9.0
31,MKR-USD,BCH-USD,5.866664119128054,18.0
32,MKR-USD,COMP-USD,17.351101141516665,17.0
33,MKR-USD,XLM-USD,7434.78186179022,13.0
34,MKR-USD,XMR-USD,4.473925397269054,21.0
35,MKR-USD,BTC-USD,0.024343093799664647,19.0
36,MKR-USD,CRV-USD,752.9717172730491,19.0
37,MKR-USD,SOL-USD,31.497280844677896,18.0
38,MKR-USD,MATIC-USD,702.0194019696513,18.0
39,MKR-USD,ETH-USD,0.3696851448127497,12.0
40,BCH-USD,RUNE-USD,88.42134959906328,23.0
41,BCH-USD,SUSHI-USD,114.89321556409541,14.0
42,BCH-USD,MATIC-USD,119.65786417906064,11.0
43,CELO-USD,ENJ-USD,1.537488149719867,5.0
44,CELO-USD,ZRX-USD,2.3300087570148666,3.0
45,ENJ-USD,RUNE-USD,0.2870324791004641,6.0
46,ENJ-USD,ZRX-USD,1.5153360322170264,5.0
47,ENJ-USD,NEAR-USD,0.2050252619454601,8.0
48,ENJ-USD,DOT-USD,0.06604465218009628,5.0
49,ENJ-USD,1INCH-USD,0.8148712504605632,16.0
50,RUNE-USD,ALGO-USD,7.393812937102424,5.0
51,RUNE-USD,SUSHI-USD,1.2991912436348347,8.0
52,RUNE-USD,1INCH-USD,2.8389327014304757,15.0
53,FIL-USD,COMP-USD,0.13186262034064752,5.0
54,FIL-USD,DOGE-USD,66.87809085430251,8.0
55,YFI-USD,XLM-USD,86599.57488776516,9.0
56,XLM-USD,EOS-USD,0.09115422994939087,18.0
57,XLM-USD,NEAR-USD,0.04983642234605683,24.0
58,XLM-USD,XMR-USD,0.000601739738872977,17.0
59,XLM-USD,SUSHI-USD,0.09066983690618897,9.0
60,XLM-USD,DOT-USD,0.016056191209186443,11.0
61,XLM-USD,DOGE-USD,1.1836896951348463,5.0
62,XLM-USD,UNI-USD,0.01730483358169557,12.0
63,XLM-USD,MATIC-USD,0.09442624645762338,8.0
64,XLM-USD,AVAX-USD,0.0054778002661674055,10.0
65,EOS-USD,NEAR-USD,0.5467098122585672,16.0
66,EOS-USD,ALGO-USD,5.659889196422338,7.0
67,NEAR-USD,DOT-USD,0.3220806449636239,11.0
68,NEAR-USD,DOGE-USD,23.74095842606198,19.0
69,ALGO-USD,1INCH-USD,0.38394179677528883,18.0
70,SUSHI-USD,DOT-USD,0.17707833232327366,7.0
71,DOT-USD,1INCH-USD,12.337307525282402,24.0
72,CRV-USD,AAVE-USD,0.013139248160504581,9.0
73,CRV-USD,MATIC-USD,0.9321790814007036,9.0
74,DOGE-USD,LTC-USD,0.0009015233123663921,16.0
75,AAVE-USD,UNI-USD,13.00027207806416,14.0
